record_id,organization_type,region,policy_text,image_infrastructure_score,audio_clarity_score,video_interaction_score,flexible_service_capacity
1,training vendor,West,"training vendor service record. Staff describe hybrid advising, program reporting, staff coordination, online appointments, case notes, eligibility review, digital case files for participants and supervisors.",0.6578,0.7634,0.6265,1
2,training vendor,Northeast,"training vendor service record. Staff describe program reporting, virtual intake, manager approval, remote service, video check ins, eligibility review for participants and supervisors.",0.98,0.6736,0.3956,1
3,city office,Northeast,"city office service record. Staff describe onsite workshop, in person queue, posted office hours, paper forms, case notes, program reporting, staff coordination for participants and supervisors.",0.0466,0.4222,0.4149,0
4,city office,Northeast,"city office service record. Staff describe staff coordination, case notes, participant outreach, digital case files, online appointments for participants and supervisors.",0.6748,0.5228,0.5138,1
5,clinic,Northeast,"clinic service record. Staff describe online appointments, eligibility review, program reporting, hybrid advising, staff coordination for participants and supervisors.",0.6151,0.8927,0.4687,1
6,school,South,"school service record. Staff describe case notes, eligibility review, hybrid advising, digital case files, staff coordination, manager approval, virtual intake, remote service for participants and supervisors.",0.5552,0.761,0.5742,1
7,city office,South,"city office service record. Staff describe participant outreach, digital case files, case notes, online appointments for participants and supervisors.",0.4467,0.98,0.5483,1
8,clinic,South,"clinic service record. Staff describe eligibility review, manager approval, front counter, participant outreach, virtual intake, walk in desk for participants and supervisors.",0.531,0.2742,0.5003,0
9,city office,South,"city office service record. Staff describe participant outreach, case notes, program reporting, digital case files, virtual intake, remote service, eligibility review, video check ins for participants and supervisors.",0.969,0.5711,0.5811,1
10,clinic,Northeast,"clinic service record. Staff describe onsite workshop, case notes, paper forms, program reporting, walk in desk, participant outreach, posted office hours, manager approval for participants and supervisors.",0.1549,0.5352,0.8789,0
11,school,West,"school service record. Staff describe case notes, posted office hours, front counter, manager approval, program reporting, in person queue, onsite workshop for participants and supervisors.",0.495,0.66,0.3275,0
12,school,South,"school service record. Staff describe front counter, virtual intake, remote service, staff coordination, case notes for participants and supervisors.",0.98,0.5111,0.5665,1
13,training vendor,South,"training vendor service record. Staff describe digital case files, manager approval, program reporting, hybrid advising, participant outreach for participants and supervisors.",0.6523,0.713,0.6709,1
14,training vendor,Northeast,"training vendor service record. Staff describe staff coordination, video check ins, program reporting, virtual intake, hybrid advising, participant outreach for participants and supervisors.",0.98,0.5942,0.3256,1
15,school,Midwest,"school service record. Staff describe manager approval, eligibility review, paper forms, in person queue, remote service, posted office hours for participants and supervisors.",0.488,0.7038,0.3617,0
16,clinic,South,"clinic service record. Staff describe in person queue, front counter, walk in desk, participant outreach, eligibility review for participants and supervisors.",0.1957,0.536,0.2777,0
17,clinic,Midwest,"clinic service record. Staff describe online appointments, manager approval, eligibility review, remote service, digital case files, staff coordination for participants and supervisors.",0.7616,0.5486,0.4719,1
18,training vendor,West,"training vendor service record. Staff describe program reporting, eligibility review, hybrid advising, staff coordination, remote service for participants and supervisors.",0.4347,0.6802,0.4966,1
19,workforce agency,Northeast,"workforce agency service record. Staff describe video check ins, program reporting, digital case files, hybrid advising, staff coordination for participants and supervisors.",0.7739,0.6587,0.5442,1
20,clinic,West,"clinic service record. Staff describe video check ins, program reporting, hybrid advising, case notes for participants and supervisors.",0.7935,0.936,0.1201,1
21,school,Northeast,"school service record. Staff describe manager approval, eligibility review, staff coordination, walk in desk, program reporting, paper forms, in person queue for participants and supervisors.",0.2687,0.3543,0.6909,0
22,training vendor,West,"training vendor service record. Staff describe online appointments, remote service, staff coordination, program reporting, video check ins, virtual intake, posted office hours for participants and supervisors.",0.98,0.3853,0.4079,1
23,clinic,Midwest,"clinic service record. Staff describe participant outreach, manager approval, program reporting, digital case files, video check ins, staff coordination for participants and supervisors.",0.7457,0.2802,0.6196,1
24,clinic,South,"clinic service record. Staff describe virtual intake, front counter, remote service, participant outreach, digital case files, eligibility review, video check ins for participants and supervisors.",0.3295,0.3069,0.2848,1
25,city office,South,"city office service record. Staff describe in person queue, case notes, eligibility review, participant outreach, walk in desk, manager approval for participants and supervisors.",0.4356,0.4602,0.437,0
26,workforce agency,South,"workforce agency service record. Staff describe onsite workshop, in person queue, paper forms, walk in desk, eligibility review, program reporting, staff coordination, participant outreach for participants and supervisors.",0.755,0.3029,0.5372,0
27,school,Midwest,"school service record. Staff describe case notes, manager approval, digital case files, online appointments, staff coordination, participant outreach, front counter for participants and supervisors.",0.5974,0.6513,0.5912,1
28,clinic,Northeast,"clinic service record. Staff describe video check ins, program reporting, staff coordination, eligibility review, online appointments for participants and supervisors.",0.6251,0.9091,0.5149,1
29,city office,Midwest,"city office service record. Staff describe posted office hours, manager approval, participant outreach, staff coordination, onsite workshop for participants and supervisors.",0.3898,0.3072,0.4059,0
30,workforce agency,Northeast,"workforce agency service record. Staff describe digital case files, participant outreach, online appointments, program reporting, remote service, virtual intake, case notes for participants and supervisors.",0.5496,0.7288,0.8459,1
31,training vendor,West,"training vendor service record. Staff describe manager approval, eligibility review, onsite workshop, staff coordination, case notes, paper forms, hybrid advising for participants and supervisors.",0.7678,0.5752,0.2669,0
32,city office,Midwest,"city office service record. Staff describe case notes, in person queue, participant outreach, program reporting, online appointments, posted office hours, front counter, paper forms for participants and supervisors.",0.7529,0.7824,0.3947,0
33,workforce agency,Northeast,"workforce agency service record. Staff describe case notes, online appointments, participant outreach, digital case files for participants and supervisors.",0.6778,0.5076,0.4299,1
34,school,Midwest,"school service record. Staff describe in person queue, participant outreach, paper forms, case notes for participants and supervisors.",0.3956,0.4653,0.6247,0
35,training vendor,South,"training vendor service record. Staff describe digital case files, eligibility review, video check ins, participant outreach for participants and supervisors.",0.98,0.6846,0.5418,1
36,clinic,South,"clinic service record. Staff describe online appointments, video check ins, eligibility review, program reporting, remote service for participants and supervisors.",0.8229,0.716,0.3321,1
37,training vendor,West,"training vendor service record. Staff describe participant outreach, virtual intake, video check ins, digital case files, case notes, staff coordination, paper forms, online appointments for participants and supervisors.",0.8794,0.5914,0.7352,1
38,workforce agency,Midwest,"workforce agency service record. Staff describe case notes, program reporting, virtual intake, participant outreach, hybrid advising for participants and supervisors.",0.2237,0.6397,0.5359,1
39,training vendor,Northeast,"training vendor service record. Staff describe hybrid advising, manager approval, eligibility review, online appointments, remote service, virtual intake for participants and supervisors.",0.6428,0.5268,0.5441,1
40,training vendor,Northeast,"training vendor service record. Staff describe remote service, eligibility review, staff coordination, video check ins, participant outreach for participants and supervisors.",0.9534,0.7113,0.603,1
41,clinic,South,"clinic service record. Staff describe program reporting, digital case files, online appointments, hybrid advising, staff coordination, eligibility review for participants and supervisors.",0.8722,0.5791,0.2422,1
42,training vendor,Northeast,"training vendor service record. Staff describe program reporting, case notes, video check ins, participant outreach, online appointments, eligibility review for participants and supervisors.",0.4961,0.5208,0.4973,1
43,training vendor,South,"training vendor service record. Staff describe program reporting, participant outreach, onsite workshop, staff coordination, case notes, front counter for participants and supervisors.",0.6254,0.931,0.5319,0
44,training vendor,West,"training vendor service record. Staff describe case notes, staff coordination, hybrid advising, program reporting, video check ins, remote service, manager approval, digital case files for participants and supervisors.",0.7766,0.6037,0.5833,1
45,clinic,Northeast,"clinic service record. Staff describe staff coordination, paper forms, posted office hours, participant outreach for participants and supervisors.",0.5488,0.3599,0.5657,0
46,city office,West,"city office service record. Staff describe online appointments, manager approval, posted office hours, participant outreach, video check ins, digital case files for participants and supervisors.",0.6733,0.8171,0.3376,1
47,city office,West,"city office service record. Staff describe participant outreach, case notes, in person queue, program reporting, front counter, posted office hours, onsite workshop, online appointments for participants and supervisors.",0.4009,0.8949,0.8499,0
48,school,West,"school service record. Staff describe eligibility review, participant outreach, walk in desk, front counter, staff coordination, program reporting, in person queue, onsite workshop for participants and supervisors.",0.6472,0.7172,0.843,0
49,training vendor,Northeast,"training vendor service record. Staff describe staff coordination, case notes, program reporting, digital case files, eligibility review, hybrid advising, video check ins, remote service for participants and supervisors.",0.4978,0.4928,0.7619,1
50,school,Northeast,"school service record. Staff describe remote service, online appointments, video check ins, case notes, program reporting for participants and supervisors.",0.6214,0.4259,0.5311,1
51,clinic,Northeast,"clinic service record. Staff describe program reporting, case notes, participant outreach, digital case files, manager approval, online appointments, hybrid advising for participants and supervisors.",0.6235,0.2462,0.6259,1
52,clinic,South,"clinic service record. Staff describe walk in desk, remote service, manager approval, online appointments, virtual intake, case notes, eligibility review, staff coordination for participants and supervisors.",0.7514,0.1994,0.2784,1
53,workforce agency,Midwest,"workforce agency service record. Staff describe manager approval, participant outreach, hybrid advising, remote service, virtual intake for participants and supervisors.",0.7576,0.6589,0.5566,1
54,school,West,"school service record. Staff describe remote service, hybrid advising, digital case files, program reporting, virtual intake, participant outreach for participants and supervisors.",0.5772,0.7136,0.5235,1
55,school,Midwest,"school service record. Staff describe participant outreach, posted office hours, eligibility review, paper forms, case notes, program reporting for participants and supervisors.",0.5787,0.2458,0.3832,0
56,training vendor,Northeast,"training vendor service record. Staff describe video check ins, case notes, hybrid advising, eligibility review, online appointments for participants and supervisors.",0.98,0.6732,0.5711,1
57,city office,South,"city office service record. Staff describe remote service, manager approval, hybrid advising, online appointments, eligibility review, digital case files, participant outreach, case notes for participants and supervisors.",0.5635,0.4905,0.4227,1
58,city office,West,"city office service record. Staff describe staff coordination, remote service, eligibility review, case notes, hybrid advising, participant outreach, onsite workshop for participants and supervisors.",0.5463,0.5949,0.4985,1
59,school,Midwest,"school service record. Staff describe program reporting, online appointments, eligibility review, video check ins, staff coordination for participants and supervisors.",0.6728,0.3463,0.98,1
60,training vendor,West,"training vendor service record. Staff describe participant outreach, staff coordination, hybrid advising, digital case files, manager approval, case notes, onsite workshop for participants and supervisors.",0.7548,0.8044,0.3611,1
61,training vendor,South,"training vendor service record. Staff describe remote service, manager approval, case notes, eligibility review, video check ins for participants and supervisors.",0.4246,0.8028,0.3562,1
62,city office,Midwest,"city office service record. Staff describe participant outreach, paper forms, video check ins, hybrid advising, case notes, eligibility review for participants and supervisors.",0.7792,0.6446,0.4695,1
63,training vendor,South,"training vendor service record. Staff describe online appointments, digital case files, staff coordination, case notes, remote service, hybrid advising for participants and supervisors.",0.5486,0.3909,0.5353,1
64,training vendor,Northeast,"training vendor service record. Staff describe participant outreach, in person queue, case notes, manager approval, online appointments, virtual intake for participants and supervisors.",0.7014,0.4022,0.7528,1
65,training vendor,West,"training vendor service record. Staff describe video check ins, remote service, program reporting, digital case files, case notes, online appointments, walk in desk for participants and supervisors.",0.7869,0.6192,0.7689,1
66,workforce agency,Midwest,"workforce agency service record. Staff describe manager approval, virtual intake, staff coordination, case notes, digital case files for participants and supervisors.",0.6341,0.5563,0.6223,1
67,workforce agency,South,"workforce agency service record. Staff describe paper forms, participant outreach, case notes, hybrid advising, virtual intake for participants and supervisors.",0.6386,0.7143,0.1536,1
68,workforce agency,South,"workforce agency service record. Staff describe front counter, case notes, posted office hours, participant outreach, manager approval, eligibility review for participants and supervisors.",0.4954,0.585,0.8601,0
69,city office,Northeast,"city office service record. Staff describe in person queue, front counter, eligibility review, staff coordination for participants and supervisors.",0.98,0.4513,0.2384,0
70,workforce agency,West,"workforce agency service record. Staff describe staff coordination, hybrid advising, eligibility review, virtual intake for participants and supervisors.",0.5366,0.9178,0.9023,1
71,clinic,Midwest,"clinic service record. Staff describe program reporting, front counter, in person queue, paper forms, staff coordination, case notes, walk in desk for participants and supervisors.",0.4491,0.6909,0.4405,0
72,workforce agency,West,"workforce agency service record. Staff describe case notes, onsite workshop, front counter, manager approval, posted office hours, participant outreach for participants and supervisors.",0.6077,0.396,0.7125,0
73,clinic,Northeast,"clinic service record. Staff describe hybrid advising, case notes, online appointments, program reporting, digital case files, remote service, in person queue for participants and supervisors.",0.4166,0.6502,0.4984,1
74,workforce agency,Midwest,"workforce agency service record. Staff describe remote service, virtual intake, hybrid advising, online appointments, case notes, manager approval, eligibility review for participants and supervisors.",0.5718,0.4876,0.4952,1
75,city office,Midwest,"city office service record. Staff describe in person queue, manager approval, staff coordination, onsite workshop for participants and supervisors.",0.5216,0.6072,0.6419,0
76,training vendor,South,"training vendor service record. Staff describe staff coordination, online appointments, eligibility review, case notes, manager approval, hybrid advising for participants and supervisors.",0.575,0.5874,0.5504,1
77,school,Northeast,"school service record. Staff describe program reporting, staff coordination, eligibility review, hybrid advising, virtual intake for participants and supervisors.",0.4222,0.8048,0.8583,1
78,city office,Northeast,"city office service record. Staff describe remote service, online appointments, case notes, program reporting, eligibility review, manager approval for participants and supervisors.",0.492,0.5566,0.3684,1
79,city office,Midwest,"city office service record. Staff describe program reporting, walk in desk, in person queue, front counter, posted office hours, participant outreach, case notes for participants and supervisors.",0.3548,0.8437,0.461,0
80,city office,South,"city office service record. Staff describe manager approval, staff coordination, video check ins, remote service, in person queue, online appointments, case notes, eligibility review, hybrid advising for participants and supervisors.",0.6279,0.4298,0.4312,1
81,workforce agency,South,"workforce agency service record. Staff describe online appointments, posted office hours, virtual intake, remote service, manager approval, digital case files, staff coordination for participants and supervisors.",0.5372,0.2833,0.6026,1
82,city office,Midwest,"city office service record. Staff describe remote service, online appointments, participant outreach, digital case files, hybrid advising, eligibility review for participants and supervisors.",0.7618,0.5638,0.7997,1
83,training vendor,West,"training vendor service record. Staff describe program reporting, online appointments, case notes, digital case files, participant outreach, remote service, manager approval for participants and supervisors.",0.6716,0.6989,0.6156,1
84,training vendor,Northeast,"training vendor service record. Staff describe hybrid advising, eligibility review, video check ins, online appointments, remote service, manager approval for participants and supervisors.",0.5149,0.3412,0.2645,1
85,workforce agency,Midwest,"workforce agency service record. Staff describe digital case files, in person queue, case notes, program reporting, eligibility review, online appointments, staff coordination, video check ins, hybrid advising for participants and supervisors.",0.8115,0.673,0.7464,1
86,workforce agency,Northeast,"workforce agency service record. Staff describe in person queue, program reporting, staff coordination, eligibility review, remote service, video check ins, hybrid advising for participants and supervisors.",0.7032,0.6384,0.5674,1
