case_id,profile,prompt_hash,mismatch_label,mismatch_type,mismatch_score,confidence,schema_valid,unsupported_flag,low_confidence_flag,human_review_flag,evidence_phrase_count,evidence_phrases,raw_output,year,program_area,region,case_text,benchmark_mismatch,benchmark_type,placement_score
1,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,license bridge,"{""confidence"": 0.5782, ""evidence"": [""license bridge""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: license bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,training voucher,South,"Workforce case note for training voucher. Counselor summary: license bridge, paperwork credential pending. Participant is considering office administration placement.",1,credential_gap,2.5355
1,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,license bridge,"{""confidence"": 0.26, ""evidence"": [""license bridge""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: license bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,training voucher,South,"Workforce case note for training voucher. Counselor summary: license bridge, paperwork credential pending. Participant is considering office administration placement.",1,credential_gap,2.5355
2,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: schedule aligned, ready for placement. Participant is considering office administration placement.",0,none,3.1709
2,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,union pathway,South,"Workforce case note for union pathway. Counselor summary: schedule aligned, ready for placement. Participant is considering office administration placement.",0,none,3.1709
3,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,schedule aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""schedule aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: schedule aligned; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,community college,Midwest,"Workforce case note for community college. Counselor summary: no training barrier, schedule aligned. Participant is considering office administration placement.",0,none,2.727
3,transfer_adapted_v1,478b302efde69afe,0,none,0.01,0.98,1,0,0,0,2,schedule aligned; no training barrier,"{""confidence"": 0.98, ""evidence"": [""schedule aligned"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: schedule aligned; no training barrier"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,community college,Midwest,"Workforce case note for community college. Counselor summary: no training barrier, schedule aligned. Participant is considering office administration placement.",0,none,2.727
4,rubric_v1,84fd6cb9b699257b,0,none,0.2109,0.5782,1,0,0,0,1,credential bridge,"{""confidence"": 0.5782, ""evidence"": [""credential bridge""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,Midwest,Workforce case note for training voucher. Counselor summary: credential bridge. Participant is considering public service placement.,1,credential_gap,2.4226
4,transfer_adapted_v1,478b302efde69afe,1,credential_gap,0.37,0.26,1,0,0,0,1,credential bridge,"{""confidence"": 0.26, ""evidence"": [""credential bridge""], ""mismatch_label"": 1, ""mismatch_score"": 0.37, ""mismatch_type"": ""credential_gap"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: credential bridge"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,training voucher,Midwest,Workforce case note for training voucher. Counselor summary: credential bridge. Participant is considering public service placement.,1,credential_gap,2.4226
5,rubric_v1,84fd6cb9b699257b,0,none,0.2018,0.5964,1,0,1,1,1,could benefit from coaching,"{""confidence"": 0.5964, ""evidence"": [""could benefit from coaching""], ""mismatch_label"": 0, ""mismatch_score"": 0.2018, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: could benefit from coaching"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: could benefit from coaching, bus route barrier. Participant is considering public service placement.",1,schedule_gap,2.5935
5,transfer_adapted_v1,478b302efde69afe,0,none,0.2109,0.5782,1,0,1,1,1,could benefit from coaching,"{""confidence"": 0.5782, ""evidence"": [""could benefit from coaching""], ""mismatch_label"": 0, ""mismatch_score"": 0.2109, ""mismatch_type"": ""none"", ""profile"": ""transfer_adapted_v1"", ""rationale"": ""evidence: could benefit from coaching"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,union pathway,South,"Workforce case note for union pathway. Counselor summary: could benefit from coaching, bus route barrier. Participant is considering public service placement.",1,schedule_gap,2.5935
