doc_id,profile,prompt_hash,mismatch_label,mismatch_type,mismatch_score,confidence,schema_valid,unsupported_flag,low_confidence_flag,human_review_flag,evidence_phrase_count,evidence_phrases,raw_output,year,sector,region,occupation_group,document_type,job_title,source_text,benchmark_mismatch,benchmark_type,demand_index,applicant_interest
1,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,1,1,3,could benefit from coaching; ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""could benefit from coaching"", ""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: could benefit from coaching; ready for placement; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,technology,West,care,case review,care coordinator,"case review. Job: care coordinator in technology. Record note: could benefit from coaching, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.7856,3.6204
1,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,1,1,3,could benefit from coaching; ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""could benefit from coaching"", ""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: could benefit from coaching; ready for placement; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,technology,West,care,case review,care coordinator,"case review. Job: care coordinator in technology. Record note: could benefit from coaching, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.7856,3.6204
1,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,1,1,3,could benefit from coaching; ready for placement; no training barrier,"{""confidence"": 0.98, ""evidence"": [""could benefit from coaching"", ""ready for placement"", ""no training barrier""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: could benefit from coaching; ready for placement; no training barrier"", ""review_flag"": 1, ""schema_version"": ""mismatch-schema-v1""}",2025,technology,West,care,case review,care coordinator,"case review. Job: care coordinator in technology. Record note: could benefit from coaching, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.7856,3.6204
2,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,meets required credential; ready for placement,"{""confidence"": 0.98, ""evidence"": [""meets required credential"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: meets required credential; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,operations,job-match memo,logistics coordinator,job-match memo. Job: logistics coordinator in technology. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6661,3.323
2,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,meets required credential; ready for placement,"{""confidence"": 0.98, ""evidence"": [""meets required credential"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: meets required credential; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,operations,job-match memo,logistics coordinator,job-match memo. Job: logistics coordinator in technology. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6661,3.323
2,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,meets required credential; ready for placement,"{""confidence"": 0.98, ""evidence"": [""meets required credential"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: meets required credential; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,operations,job-match memo,logistics coordinator,job-match memo. Job: logistics coordinator in technology. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6661,3.323
3,conservative_v1,1c131bdb821c277b,0,none,0.0518,0.8964,1,0,0,0,2,missing sql; ready for placement,"{""confidence"": 0.8964, ""evidence"": [""missing sql"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.0518, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: missing sql; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,public,Midwest,production,case review,production technician,"case review. Job: production technician in public. Record note: missing SQL, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,skill_gap,0.2911,2.6916
3,rubric_v1,84fd6cb9b699257b,0,none,0.0973,0.8055,1,0,0,0,2,missing sql; ready for placement,"{""confidence"": 0.8055, ""evidence"": [""missing sql"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.0973, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: missing sql; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,public,Midwest,production,case review,production technician,"case review. Job: production technician in public. Record note: missing SQL, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,skill_gap,0.2911,2.6916
3,expansive_v1,64f2e45d522fc7f6,0,none,0.1655,0.6691,1,0,0,0,2,missing sql; ready for placement,"{""confidence"": 0.6691, ""evidence"": [""missing sql"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.1655, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: missing sql; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,public,Midwest,production,case review,production technician,"case review. Job: production technician in public. Record note: missing SQL, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,skill_gap,0.2911,2.6916
4,conservative_v1,1c131bdb821c277b,0,none,0.3018,0.3964,1,0,0,0,3,lacks python; needs forklift; ready for placement,"{""confidence"": 0.3964, ""evidence"": [""lacks python"", ""needs forklift"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.3018, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: lacks python; needs forklift; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,public,South,care,case review,patient support specialist,"case review. Job: patient support specialist in public. Record note: lacks Python, needs forklift. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.3484,2.5236
4,rubric_v1,84fd6cb9b699257b,1,skill_gap,0.3473,0.3055,1,0,0,0,3,lacks python; needs forklift; ready for placement,"{""confidence"": 0.3055, ""evidence"": [""lacks python"", ""needs forklift"", ""ready for placement""], ""mismatch_label"": 1, ""mismatch_score"": 0.3473, ""mismatch_type"": ""skill_gap"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: lacks python; needs forklift; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,public,South,care,case review,patient support specialist,"case review. Job: patient support specialist in public. Record note: lacks Python, needs forklift. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.3484,2.5236
4,expansive_v1,64f2e45d522fc7f6,1,skill_gap,0.4155,0.1691,1,0,0,0,3,lacks python; needs forklift; ready for placement,"{""confidence"": 0.1691, ""evidence"": [""lacks python"", ""needs forklift"", ""ready for placement""], ""mismatch_label"": 1, ""mismatch_score"": 0.4155, ""mismatch_type"": ""skill_gap"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: lacks python; needs forklift; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,public,South,care,case review,patient support specialist,"case review. Job: patient support specialist in public. Record note: lacks Python, needs forklift. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.3484,2.5236
5,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,analysis,resume screen,data analyst,resume screen. Job: data analyst in technology. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.9568,3.7197
5,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,analysis,resume screen,data analyst,resume screen. Job: data analyst in technology. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.9568,3.7197
5,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2024,technology,Midwest,analysis,resume screen,data analyst,resume screen. Job: data analyst in technology. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.9568,3.7197
6,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,credential verified; ready for placement,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: credential verified; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,retail,Northeast,operations,resume screen,program operations associate,resume screen. Job: program operations associate in retail. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6373,3.0834
6,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,credential verified; ready for placement,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: credential verified; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,retail,Northeast,operations,resume screen,program operations associate,resume screen. Job: program operations associate in retail. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6373,3.0834
6,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,credential verified; ready for placement,"{""confidence"": 0.98, ""evidence"": [""credential verified"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: credential verified; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,retail,Northeast,operations,resume screen,program operations associate,resume screen. Job: program operations associate in retail. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6373,3.0834
7,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,health,South,operations,resume screen,program operations associate,resume screen. Job: program operations associate in health. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.6747,3.5894
7,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,health,South,operations,resume screen,program operations associate,resume screen. Job: program operations associate in health. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.6747,3.5894
7,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,2,ready for placement; license verified,"{""confidence"": 0.98, ""evidence"": [""ready for placement"", ""license verified""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: ready for placement; license verified"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,health,South,operations,resume screen,program operations associate,resume screen. Job: program operations associate in health. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.6747,3.5894
8,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,3,meets required credential; ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""meets required credential"", ""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: meets required credential; ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,education,Midwest,operations,resume screen,operations planner,"resume screen. Job: operations planner in education. Record note: ready for placement, schedule aligned, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.628,3.2492
8,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,3,meets required credential; ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""meets required credential"", ""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: meets required credential; ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,education,Midwest,operations,resume screen,operations planner,"resume screen. Job: operations planner in education. Record note: ready for placement, schedule aligned, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.628,3.2492
8,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,3,meets required credential; ready for placement; schedule aligned,"{""confidence"": 0.98, ""evidence"": [""meets required credential"", ""ready for placement"", ""schedule aligned""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: meets required credential; ready for placement; schedule aligned"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2023,education,Midwest,operations,resume screen,operations planner,"resume screen. Job: operations planner in education. Record note: ready for placement, schedule aligned, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.628,3.2492
9,conservative_v1,1c131bdb821c277b,0,none,0.01,0.98,1,0,0,0,1,ready for placement,"{""confidence"": 0.98, ""evidence"": [""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,retail,Northeast,administration,resume screen,program assistant,resume screen. Job: program assistant in retail. Record note: ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.4418,3.4595
9,rubric_v1,84fd6cb9b699257b,0,none,0.01,0.98,1,0,0,0,1,ready for placement,"{""confidence"": 0.98, ""evidence"": [""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,retail,Northeast,administration,resume screen,program assistant,resume screen. Job: program assistant in retail. Record note: ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.4418,3.4595
9,expansive_v1,64f2e45d522fc7f6,0,none,0.01,0.98,1,0,0,0,1,ready for placement,"{""confidence"": 0.98, ""evidence"": [""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.01, ""mismatch_type"": ""none"", ""profile"": ""expansive_v1"", ""rationale"": ""evidence: ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,retail,Northeast,administration,resume screen,program assistant,resume screen. Job: program assistant in retail. Record note: ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.4418,3.4595
10,conservative_v1,1c131bdb821c277b,0,none,0.0973,0.8055,1,0,0,0,2,degree requirement unmet; ready for placement,"{""confidence"": 0.8055, ""evidence"": [""degree requirement unmet"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.0973, ""mismatch_type"": ""none"", ""profile"": ""conservative_v1"", ""rationale"": ""evidence: degree requirement unmet; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,public,West,customer,job-match memo,client support lead,job-match memo. Job: client support lead in public. Record note: degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,credential_gap,0.3699,3.2908
10,rubric_v1,84fd6cb9b699257b,0,none,0.1427,0.7145,1,0,0,0,2,degree requirement unmet; ready for placement,"{""confidence"": 0.7145, ""evidence"": [""degree requirement unmet"", ""ready for placement""], ""mismatch_label"": 0, ""mismatch_score"": 0.1427, ""mismatch_type"": ""none"", ""profile"": ""rubric_v1"", ""rationale"": ""evidence: degree requirement unmet; ready for placement"", ""review_flag"": 0, ""schema_version"": ""mismatch-schema-v1""}",2025,public,West,customer,job-match memo,client support lead,job-match memo. Job: client support lead in public. Record note: degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,credential_gap,0.3699,3.2908
