doc_id,conservative_v1,expansive_v1,rubric_v1,any_disagreement,sector,region,occupation_group,document_type,benchmark_mismatch,benchmark_type,source_text
4,0,1,1,1,public,South,care,case review,1,skill_gap,"case review. Job: patient support specialist in public. Record note: lacks Python, needs forklift. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
22,0,1,0,1,retail,South,administration,case review,1,credential_gap,"case review. Job: program assistant in retail. Record note: credential verified, license not held, credential missing. Applicant history includes recent training. Manager asks whether the match is ready for placement."
24,0,1,0,1,public,West,customer,case review,0,none,"case review. Job: intake specialist in public. Record note: needs EHR, completed onboarding, permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
30,0,1,0,1,manufacturing,South,production,job-match memo,1,credential_gap,"job-match memo. Job: production technician in manufacturing. Record note: license not held, credential missing, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement."
32,0,1,0,1,technology,Midwest,customer,resume screen,1,skill_gap,"resume screen. Job: service representative in technology. Record note: schedule aligned, lacks Python, needs forklift, could benefit from coaching. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
33,0,1,1,1,public,West,customer,job-match memo,1,skill_gap,"job-match memo. Job: service representative in public. Record note: lacks Python, missing SQL. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
35,0,1,0,1,public,West,production,job-match memo,0,none,"job-match memo. Job: warehouse lead in public. Record note: clearance pending, lacks Python, skills aligned, partial fit. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
45,0,1,0,1,health,Northeast,analysis,resume screen,0,none,"resume screen. Job: data analyst in health. Record note: needs EHR, upskilling required, may need support, skills aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
48,0,1,1,1,manufacturing,Midwest,operations,case review,1,skill_gap,"case review. Job: logistics coordinator in manufacturing. Record note: not familiar with dashboards, training required. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
63,0,1,1,1,public,West,production,case review,1,schedule_gap,"case review. Job: equipment operator in public. Record note: available only mornings, childcare conflict. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
64,0,1,1,1,manufacturing,West,care,resume screen,1,schedule_gap,"resume screen. Job: clinic scheduler in manufacturing. Record note: may need support, childcare conflict, onsite conflict. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
79,0,1,0,1,health,West,operations,job-match memo,0,none,"job-match memo. Job: operations planner in health. Record note: training required, completed onboarding, upskilling required, could benefit from coaching. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
86,0,1,1,1,education,South,operations,job-match memo,1,skill_gap,"job-match memo. Job: operations planner in education. Record note: upskilling required, not familiar with dashboards. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
87,0,1,0,1,manufacturing,South,administration,resume screen,0,none,"resume screen. Job: program assistant in manufacturing. Record note: needs forklift, certification not current, no training barrier. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
96,0,1,0,1,technology,Midwest,operations,case review,1,skill_gap,"case review. Job: logistics coordinator in technology. Record note: some exposure, needs EHR. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
100,0,1,0,1,retail,Northeast,operations,job-match memo,1,skill_gap,"job-match memo. Job: logistics coordinator in retail. Record note: could benefit from coaching, missing equipment. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
104,0,1,1,1,public,West,operations,case review,1,schedule_gap,"case review. Job: program operations associate in public. Record note: transportation conflict, onsite conflict. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
109,0,1,1,1,manufacturing,Midwest,care,case review,1,skill_gap,"case review. Job: care coordinator in manufacturing. Record note: needs forklift, missing equipment. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
111,0,1,1,1,public,West,customer,job-match memo,1,skill_gap,"job-match memo. Job: service representative in public. Record note: upskilling required, not familiar with dashboards. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
113,0,1,1,1,retail,South,analysis,job-match memo,1,skill_gap,"job-match memo. Job: benefits analyst in retail. Record note: needs EHR, not familiar with dashboards, could benefit from coaching. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
114,0,1,1,1,technology,Midwest,customer,job-match memo,1,schedule_gap,"job-match memo. Job: client support lead in technology. Record note: weekend restriction, available only mornings. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
121,0,1,0,1,technology,West,operations,job-match memo,1,schedule_gap,"job-match memo. Job: program operations associate in technology. Record note: some exposure, cannot work nights. Applicant history includes recent training. Manager asks whether the match is ready for placement."
132,0,1,1,1,manufacturing,Northeast,care,job-match memo,1,skill_gap,"job-match memo. Job: patient support specialist in manufacturing. Record note: lacks Python, needs EHR. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
