doc_id,review_priority,sector,occupation_group,document_type,benchmark_mismatch,mismatch_label,mismatch_score,mismatch_type,human_review_flag,unsupported_flag,any_disagreement,false_positive,false_negative,evidence_phrases,source_text
32,3,technology,customer,resume screen,1,0,0.1564,none,1,0,1,0,1,lacks python; needs forklift; could benefit from coaching; ready for placement; schedule aligned,"resume screen. Job: service representative in technology. Record note: schedule aligned, lacks Python, needs forklift, could benefit from coaching. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
96,3,technology,operations,case review,1,0,0.1791,none,1,0,1,0,1,needs ehr; some exposure; ready for placement,"case review. Job: logistics coordinator in technology. Record note: some exposure, needs EHR. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
100,3,retail,operations,job-match memo,1,0,0.1791,none,1,0,1,0,1,missing equipment; could benefit from coaching; ready for placement,"job-match memo. Job: logistics coordinator in retail. Record note: could benefit from coaching, missing equipment. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
121,3,technology,operations,job-match memo,1,0,0.1791,none,1,0,1,0,1,cannot work nights; some exposure; ready for placement,"job-match memo. Job: program operations associate in technology. Record note: some exposure, cannot work nights. Applicant history includes recent training. Manager asks whether the match is ready for placement."
22,2,retail,administration,case review,1,0,0.1655,none,0,0,1,0,1,license not held; credential missing; credential verified; ready for placement,"case review. Job: program assistant in retail. Record note: credential verified, license not held, credential missing. Applicant history includes recent training. Manager asks whether the match is ready for placement."
30,2,manufacturing,production,job-match memo,1,0,0.1655,none,0,0,1,0,1,license not held; credential missing; ready for placement; license verified,"job-match memo. Job: production technician in manufacturing. Record note: license not held, credential missing, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement."
35,2,public,production,job-match memo,0,0,0.2018,none,1,0,1,0,0,lacks python; clearance pending; partial fit; ready for placement; skills aligned,"job-match memo. Job: warehouse lead in public. Record note: clearance pending, lacks Python, skills aligned, partial fit. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
45,2,health,analysis,resume screen,0,0,0.1564,none,1,0,1,0,0,upskilling required; needs ehr; may need support; ready for placement; skills aligned,"resume screen. Job: data analyst in health. Record note: needs EHR, upskilling required, may need support, skills aligned. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
64,2,manufacturing,care,resume screen,1,1,0.4291,schedule_gap,1,0,1,0,0,onsite conflict; childcare conflict; may need support; ready for placement,"resume screen. Job: clinic scheduler in manufacturing. Record note: may need support, childcare conflict, onsite conflict. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
79,2,health,operations,job-match memo,0,0,0.1564,none,1,0,1,0,0,training required; upskilling required; could benefit from coaching; completed onboarding; ready for placement,"job-match memo. Job: operations planner in health. Record note: training required, completed onboarding, upskilling required, could benefit from coaching. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
84,2,retail,customer,case review,1,0,0.01,none,1,0,0,0,1,credential missing; may need support; completed onboarding; ready for placement,"case review. Job: intake specialist in retail. Record note: credential missing, may need support, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement."
91,2,manufacturing,care,resume screen,0,1,0.4382,credential_gap,1,0,0,1,0,credential missing; degree requirement unmet; ready for placement,"resume screen. Job: care coordinator in manufacturing. Record note: degree requirement unmet, credential missing, ready for placement. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
113,2,retail,analysis,job-match memo,1,1,0.4291,skill_gap,1,0,1,0,0,needs ehr; not familiar with dashboards; could benefit from coaching; ready for placement,"job-match memo. Job: benefits analyst in retail. Record note: needs EHR, not familiar with dashboards, could benefit from coaching. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
118,2,technology,operations,resume screen,1,0,0.01,none,1,0,0,0,1,missing sql; informal experience; credential verified; ready for placement,"resume screen. Job: operations planner in technology. Record note: credential verified, informal experience, missing SQL. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
140,2,health,administration,job-match memo,1,1,0.4291,skill_gap,1,0,1,0,0,missing equipment; needs ehr; some exposure; ready for placement,"job-match memo. Job: program assistant in health. Record note: missing equipment, needs EHR, some exposure. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
145,2,health,care,job-match memo,1,1,0.4291,schedule_gap,1,0,1,0,0,onsite conflict; transportation conflict; informal experience; ready for placement,"job-match memo. Job: care coordinator in health. Record note: onsite conflict, informal experience, transportation conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement."
159,2,manufacturing,administration,job-match memo,1,0,0.1655,none,0,0,1,0,1,credential missing; certification not current; meets required credential; ready for placement,"job-match memo. Job: grants coordinator in manufacturing. Record note: credential missing, certification not current, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
163,2,health,production,job-match memo,1,1,0.4291,skill_gap,1,0,1,0,0,missing sql; needs forklift; may need support; ready for placement,"job-match memo. Job: equipment operator in health. Record note: missing SQL, may need support, needs forklift. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
1,1,technology,care,case review,0,0,0.01,none,1,0,0,0,0,could benefit from coaching; ready for placement; no training barrier,"case review. Job: care coordinator in technology. Record note: could benefit from coaching, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement."
3,1,public,production,case review,1,0,0.0973,none,0,0,0,0,1,missing sql; ready for placement,"case review. Job: production technician in public. Record note: missing SQL, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement."
4,1,public,care,case review,1,1,0.3473,skill_gap,0,0,1,0,0,lacks python; needs forklift; ready for placement,"case review. Job: patient support specialist in public. Record note: lacks Python, needs forklift. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
10,1,public,customer,job-match memo,1,0,0.1427,none,0,0,0,0,1,degree requirement unmet; ready for placement,job-match memo. Job: client support lead in public. Record note: degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.
14,1,health,customer,resume screen,1,1,0.4382,credential_gap,1,0,0,0,0,certification missing; degree requirement unmet; ready for placement,"resume screen. Job: intake specialist in health. Record note: degree requirement unmet, ready for placement, certification missing. Applicant history includes recent training. Manager asks whether the match is ready for placement."
15,1,retail,customer,resume screen,1,0,0.1427,none,0,0,0,0,1,clearance pending; ready for placement,resume screen. Job: service representative in retail. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
16,1,health,analysis,resume screen,1,0,0.0973,none,0,0,0,0,1,upskilling required; ready for placement,resume screen. Job: policy analyst in health. Record note: upskilling required. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
17,1,manufacturing,production,resume screen,1,0,0.01,none,0,0,0,0,1,cannot work nights; ready for placement; license verified,"resume screen. Job: warehouse lead in manufacturing. Record note: cannot work nights, license verified. Applicant history includes recent training. Manager asks whether the match is ready for placement."
18,1,manufacturing,operations,resume screen,1,0,0.0973,none,0,0,0,0,1,lacks python; ready for placement,resume screen. Job: logistics coordinator in manufacturing. Record note: lacks Python. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
21,1,public,analysis,resume screen,0,0,0.01,none,1,0,0,0,0,may need support; meets required credential; ready for placement; license verified,"resume screen. Job: benefits analyst in public. Record note: may need support, license verified, meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement."
24,1,public,customer,case review,0,0,0.12,none,0,0,1,0,0,needs ehr; permit not current; completed onboarding; ready for placement,"case review. Job: intake specialist in public. Record note: needs EHR, completed onboarding, permit not current. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
27,1,manufacturing,care,job-match memo,1,0,0.0973,none,0,0,0,0,1,weekend restriction; ready for placement,"job-match memo. Job: patient support specialist in manufacturing. Record note: ready for placement, weekend restriction. Applicant history includes recent training. Manager asks whether the match is ready for placement."
33,1,public,customer,job-match memo,1,1,0.3473,skill_gap,0,0,1,0,0,lacks python; missing sql; ready for placement,"job-match memo. Job: service representative in public. Record note: lacks Python, missing SQL. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
34,1,public,care,job-match memo,1,0,0.1427,none,0,0,0,0,1,clearance pending; ready for placement,job-match memo. Job: care coordinator in public. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
36,1,manufacturing,customer,resume screen,0,0,0.01,none,1,0,0,0,0,transitioning from adjacent role; meets required credential; completed onboarding; ready for placement; license verified,"resume screen. Job: client support lead in manufacturing. Record note: transitioning from adjacent role, license verified, meets required credential, completed onboarding. Applicant history includes recent training. Manager asks whether the match is ready for placement."
37,1,retail,production,resume screen,1,0,0.01,none,0,0,0,0,1,weekend restriction; ready for placement; license verified,"resume screen. Job: equipment operator in retail. Record note: weekend restriction, license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement."
39,1,education,operations,job-match memo,1,0,0.01,none,0,0,0,0,1,childcare conflict; ready for placement; no training barrier,"job-match memo. Job: program operations associate in education. Record note: childcare conflict, no training barrier. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
40,1,retail,production,resume screen,1,0,0.0973,none,0,0,0,0,1,needs ehr; ready for placement,resume screen. Job: warehouse lead in retail. Record note: needs EHR. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
42,1,retail,customer,resume screen,1,0,0.0973,none,0,0,0,0,1,childcare conflict; ready for placement,resume screen. Job: intake specialist in retail. Record note: childcare conflict. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.
43,1,public,operations,job-match memo,1,1,0.4382,credential_gap,1,0,0,0,0,degree requirement unmet; certification not current; ready for placement,"job-match memo. Job: operations planner in public. Record note: degree requirement unmet, certification not current. Applicant history includes recent training. Manager asks whether the match is ready for placement."
47,1,technology,production,resume screen,1,0,0.0973,none,0,0,0,0,1,available only mornings; ready for placement,resume screen. Job: warehouse lead in technology. Record note: available only mornings. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.
48,1,manufacturing,operations,case review,1,1,0.3473,skill_gap,0,0,1,0,0,training required; not familiar with dashboards; ready for placement,"case review. Job: logistics coordinator in manufacturing. Record note: not familiar with dashboards, training required. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement."
