doc_id,year,sector,region,occupation_group,document_type,job_title,source_text,benchmark_mismatch,benchmark_type,demand_index,applicant_interest
1,2025,technology,West,care,case review,care coordinator,"case review. Job: care coordinator in technology. Record note: could benefit from coaching, no training barrier. Applicant history includes recent training. Manager asks whether the match is ready for placement.",0,none,0.7856,3.6204
2,2024,technology,Midwest,operations,job-match memo,logistics coordinator,job-match memo. Job: logistics coordinator in technology. Record note: meets required credential. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6661,3.323
3,2023,public,Midwest,production,case review,production technician,"case review. Job: production technician in public. Record note: missing SQL, ready for placement. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,skill_gap,0.2911,2.6916
4,2024,public,South,care,case review,patient support specialist,"case review. Job: patient support specialist in public. Record note: lacks Python, needs forklift. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",1,skill_gap,0.3484,2.5236
5,2024,technology,Midwest,analysis,resume screen,data analyst,resume screen. Job: data analyst in technology. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.9568,3.7197
6,2023,retail,Northeast,operations,resume screen,program operations associate,resume screen. Job: program operations associate in retail. Record note: credential verified. Applicant history includes recent training. Manager asks whether the match is ready for placement.,0,none,0.6373,3.0834
7,2023,health,South,operations,resume screen,program operations associate,resume screen. Job: program operations associate in health. Record note: license verified. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.6747,3.5894
8,2023,education,Midwest,operations,resume screen,operations planner,"resume screen. Job: operations planner in education. Record note: ready for placement, schedule aligned, meets required credential. Applicant history includes new labor-market entry. Manager asks whether the match is ready for placement.",0,none,0.628,3.2492
9,2025,retail,Northeast,administration,resume screen,program assistant,resume screen. Job: program assistant in retail. Record note: ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.4418,3.4595
10,2025,public,West,customer,job-match memo,client support lead,job-match memo. Job: client support lead in public. Record note: degree requirement unmet. Applicant history includes recent training. Manager asks whether the match is ready for placement.,1,credential_gap,0.3699,3.2908
11,2023,education,Northeast,analysis,job-match memo,data analyst,"job-match memo. Job: data analyst in education. Record note: no training barrier, ready for placement. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.4798,2.9914
12,2024,retail,Midwest,customer,job-match memo,client support lead,job-match memo. Job: client support lead in retail. Record note: schedule aligned. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.,0,none,0.5904,3.5055
13,2024,technology,Midwest,administration,resume screen,records manager,"resume screen. Job: records manager in technology. Record note: ready for placement, no training barrier. Applicant history includes two years of related work. Manager asks whether the match is ready for placement.",0,none,0.6495,3.1067
14,2022,health,Midwest,customer,resume screen,intake specialist,"resume screen. Job: intake specialist in health. Record note: degree requirement unmet, ready for placement, certification missing. Applicant history includes recent training. Manager asks whether the match is ready for placement.",1,credential_gap,0.304,2.8478
15,2024,retail,Midwest,customer,resume screen,service representative,resume screen. Job: service representative in retail. Record note: clearance pending. Applicant history includes prior sector experience. Manager asks whether the match is ready for placement.,1,credential_gap,0.5495,2.7313
