case_id,rubric_v1,transfer_adapted_v1,label_changed_after_adaptation,program_area,region,benchmark_mismatch,benchmark_type,case_text
1,0,1,1,training voucher,South,1,credential_gap,"Workforce case note for training voucher. Counselor summary: license bridge, paperwork credential pending. Participant is considering office administration placement."
4,0,1,1,training voucher,Midwest,1,credential_gap,Workforce case note for training voucher. Counselor summary: credential bridge. Participant is considering public service placement.
6,0,1,1,city contractor,West,1,skill_gap,"Workforce case note for city contractor. Counselor summary: digital intake coaching, rapid upskilling. Participant is considering office administration placement."
8,0,1,1,community college,Midwest,1,schedule_gap,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering logistics placement."
9,0,1,1,city contractor,South,1,skill_gap,"Workforce case note for city contractor. Counselor summary: rapid upskilling, digital intake coaching. Participant is considering logistics placement."
10,0,1,1,union pathway,Midwest,1,credential_gap,"Workforce case note for union pathway. Counselor summary: credential bridge, license bridge. Participant is considering public service placement."
11,0,1,1,union pathway,Northeast,1,skill_gap,"Workforce case note for union pathway. Counselor summary: bridge credential, rapid upskilling. Participant is considering office administration placement."
12,0,1,1,workforce agency,South,1,skill_gap,Workforce case note for workforce agency. Counselor summary: rapid upskilling. Participant is considering public service placement.
13,0,1,1,city contractor,West,1,credential_gap,"Workforce case note for city contractor. Counselor summary: paperwork credential pending, license bridge. Participant is considering public service placement."
16,0,1,1,union pathway,West,1,skill_gap,"Workforce case note for union pathway. Counselor summary: rapid upskilling, needs platform practice. Participant is considering public service placement."
18,0,1,1,training voucher,South,1,credential_gap,Workforce case note for training voucher. Counselor summary: license bridge. Participant is considering health support placement.
19,0,1,1,union pathway,Northeast,1,credential_gap,Workforce case note for union pathway. Counselor summary: reciprocity unresolved. Participant is considering health support placement.
21,0,1,1,union pathway,West,1,credential_gap,"Workforce case note for union pathway. Counselor summary: reciprocity unresolved, transitioning from adjacent role. Participant is considering health support placement."
22,0,1,1,union pathway,Midwest,0,none,"Workforce case note for union pathway. Counselor summary: credential bridge, credential verified, bridge credential. Participant is considering office administration placement."
25,0,1,1,community college,South,1,schedule_gap,"Workforce case note for community college. Counselor summary: bus route barrier, wraparound schedule. Participant is considering health support placement."
32,0,1,1,workforce agency,Midwest,1,schedule_gap,Workforce case note for workforce agency. Counselor summary: wraparound schedule. Participant is considering health support placement.
36,0,1,1,workforce agency,West,1,credential_gap,"Workforce case note for workforce agency. Counselor summary: paperwork credential pending, credential bridge. Participant is considering logistics placement."
39,0,1,1,training voucher,West,1,schedule_gap,Workforce case note for training voucher. Counselor summary: shift barrier. Participant is considering logistics placement.
42,0,1,1,union pathway,South,1,skill_gap,Workforce case note for union pathway. Counselor summary: rapid upskilling. Participant is considering health support placement.
44,0,1,1,city contractor,Northeast,0,none,"Workforce case note for city contractor. Counselor summary: license bridge, skills aligned, credential bridge. Participant is considering logistics placement."
45,0,1,1,community college,South,1,skill_gap,"Workforce case note for community college. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement."
49,0,1,1,union pathway,West,1,skill_gap,"Workforce case note for union pathway. Counselor summary: bridge credential, digital intake coaching. Participant is considering office administration placement."
53,0,1,1,community college,West,0,none,"Workforce case note for community college. Counselor summary: license verified, reciprocity unresolved, credential bridge. Participant is considering office administration placement."
54,0,1,1,training voucher,West,1,skill_gap,"Workforce case note for training voucher. Counselor summary: rapid upskilling, bridge credential. Participant is considering public service placement."
