posting_id,year,sector,region,job_family,firm_size,posting_title,posting_text,remote_label,applicant_interest,future_remote_badge
1,2022,finance,Midwest,production,90,senior warehouse lead,"senior warehouse lead. The role supports finance teams through on site presence, secure video calls, compliance documentation, field visits, team coordination, in person service, customer follow up, manager updates, online documentation. Candidates document workflows and coordinate with managers.",0,2.7871,0
2,2023,education,Northeast,production,450,lead warehouse lead,"lead warehouse lead. The role supports education teams through shared workflow tools, customer follow up, manager updates, on site presence, quality checks, storefront support. Candidates document workflows and coordinate with managers.",0,3.014,0
3,2021,manufacturing,South,care,3000,lead care coordinator,"lead care coordinator. The role supports manufacturing teams through training support, field visits, team coordination, case management software, storefront support, customer follow up. Candidates document workflows and coordinate with managers.",0,3.1012,0
4,2022,finance,South,analysis,450,associate risk analyst,"associate risk analyst. The role supports finance teams through flexible location, in person service, compliance documentation, manager updates, production floor, hybrid schedule, online documentation, secure video calls. Candidates document workflows and coordinate with managers.",1,3.469,1
5,2024,public,South,care,1200,senior care coordinator,"senior care coordinator. The role supports public teams through manager updates, data dashboards, cloud records, customer follow up, virtual meetings, compliance documentation, team coordination. Candidates document workflows and coordinate with managers.",1,3.0446,1
6,2024,education,South,analysis,90,associate policy analyst,"associate policy analyst. The role supports education teams through quality checks, team coordination, remote work, shared workflow tools, virtual meetings, work from home, training support. Candidates document workflows and coordinate with managers.",1,3.4029,1
7,2022,manufacturing,West,customer,90,associate service coordinator,"associate service coordinator. The role supports manufacturing teams through team coordination, quality checks, warehouse shift, manager updates, field visits, storefront support. Candidates document workflows and coordinate with managers.",0,2.9913,0
8,2021,finance,South,customer,1200,associate client support associate,"associate client support associate. The role supports finance teams through shared workflow tools, quality checks, flexible location, compliance documentation, manager updates, data dashboards, remote work, online documentation, home office, team coordination. Candidates document workflows and coordinate with managers.",1,3.3055,1
9,2023,retail,Northeast,customer,90,associate customer success lead,"associate customer success lead. The role supports retail teams through training support, quality checks, data dashboards, physical equipment, field visits, production floor, online documentation. Candidates document workflows and coordinate with managers.",0,2.6352,0
10,2021,manufacturing,Northeast,analysis,40,senior policy analyst,"senior policy analyst. The role supports manufacturing teams through manager updates, asynchronous communication, front desk coverage, physical equipment, team coordination, virtual meetings, data dashboards, remote work, quality checks, compliance documentation. Candidates document workflows and coordinate with managers.",1,3.1945,1
11,2022,public,West,production,40,lead warehouse lead,"lead warehouse lead. The role supports public teams through compliance documentation, production floor, quality checks, front desk coverage, storefront support. Candidates document workflows and coordinate with managers.",0,2.3394,1
12,2024,health,Midwest,operations,450,lead logistics coordinator,"lead logistics coordinator. The role supports health teams through shared workflow tools, compliance documentation, training support, warehouse shift, case management software, customer follow up. Candidates document workflows and coordinate with managers.",0,2.7532,0
13,2023,health,Midwest,operations,180,senior operations planner,"senior operations planner. The role supports health teams through quality checks, team coordination, manager updates, cloud records. Candidates document workflows and coordinate with managers.",0,2.852,0
14,2023,manufacturing,South,care,180,associate clinic scheduler,"associate clinic scheduler. The role supports manufacturing teams through storefront support, quality checks, production floor, front desk coverage, manager updates. Candidates document workflows and coordinate with managers.",0,3.0085,0
15,2022,finance,South,customer,450,senior customer success lead,"senior customer success lead. The role supports finance teams through storefront support, training support, team coordination, case management software. Candidates document workflows and coordinate with managers.",0,2.5933,0
16,2022,health,South,customer,90,associate customer success lead,"associate customer success lead. The role supports health teams through customer follow up, case management software, shared workflow tools, front desk coverage, quality checks, manager updates, physical equipment. Candidates document workflows and coordinate with managers.",0,2.8323,0
17,2021,education,Northeast,customer,40,senior customer success lead,"senior customer success lead. The role supports education teams through training support, field visits, quality checks, on site presence, manager updates, customer follow up. Candidates document workflows and coordinate with managers.",0,3.005,0
18,2022,education,Midwest,operations,90,senior program operations associate,"senior program operations associate. The role supports education teams through compliance documentation, in person service, quality checks, on site presence, physical equipment, team coordination. Candidates document workflows and coordinate with managers.",0,2.7832,0
19,2022,manufacturing,Northeast,customer,90,associate customer success lead,"associate customer success lead. The role supports manufacturing teams through data dashboards, customer follow up, team coordination, compliance documentation, asynchronous communication. Candidates document workflows and coordinate with managers.",1,2.7573,1
20,2024,finance,Northeast,administration,180,senior administrative analyst,"senior administrative analyst. The role supports finance teams through shared workflow tools, virtual meetings, work from home, cloud records, data dashboards, distributed team, quality checks, team coordination. Candidates document workflows and coordinate with managers.",1,2.8948,1
21,2022,manufacturing,Northeast,operations,450,lead program operations associate,"lead program operations associate. The role supports manufacturing teams through field visits, team coordination, home office, online documentation, warehouse shift, in person service, customer follow up, shared workflow tools, virtual meetings, case management software. Candidates document workflows and coordinate with managers.",1,2.9049,1
22,2023,finance,South,care,450,lead care coordinator,"lead care coordinator. The role supports finance teams through hybrid schedule, training support, remote work, cloud records, data dashboards, online documentation, customer follow up, flexible location, manager updates, team coordination. Candidates document workflows and coordinate with managers.",1,3.0418,1
23,2023,public,Midwest,production,3000,senior production technician,"senior production technician. The role supports public teams through on site presence, customer follow up, training support, compliance documentation, quality checks, physical equipment, secure video calls. Candidates document workflows and coordinate with managers.",0,2.8646,0
24,2022,education,West,analysis,180,associate risk analyst,"associate risk analyst. The role supports education teams through training support, shared workflow tools, cloud records, manager updates, warehouse shift. Candidates document workflows and coordinate with managers.",0,2.7236,0
25,2024,retail,Midwest,production,450,senior warehouse lead,"senior warehouse lead. The role supports retail teams through manager updates, compliance documentation, in person service, field visits, training support, warehouse shift. Candidates document workflows and coordinate with managers.",0,2.7034,0
26,2024,manufacturing,Midwest,customer,450,lead service coordinator,"lead service coordinator. The role supports manufacturing teams through secure video calls, customer follow up, manager updates. Candidates document workflows and coordinate with managers.",0,2.3128,0
27,2023,retail,Northeast,production,450,associate warehouse lead,"associate warehouse lead. The role supports retail teams through front desk coverage, team coordination, customer follow up, on site presence, cloud records, storefront support. Candidates document workflows and coordinate with managers.",0,2.8834,0
28,2023,manufacturing,West,production,40,senior equipment operator,"senior equipment operator. The role supports manufacturing teams through front desk coverage, work from home, team coordination, customer follow up, manager updates, warehouse shift, training support, asynchronous communication, virtual meetings. Candidates document workflows and coordinate with managers.",0,2.5404,0
29,2021,public,South,administration,450,associate administrative analyst,"associate administrative analyst. The role supports public teams through online documentation, case management software, quality checks, customer follow up, shared workflow tools, remote work, hybrid schedule, manager updates. Candidates document workflows and coordinate with managers.",1,3.4965,1
30,2022,finance,South,customer,180,associate service coordinator,"associate service coordinator. The role supports finance teams through quality checks, customer follow up, online documentation, case management software, cloud records, in person service, distributed team, manager updates, training support. Candidates document workflows and coordinate with managers.",1,2.9821,1
31,2023,health,Northeast,production,90,associate production technician,"associate production technician. The role supports health teams through secure video calls, manager updates, on site presence, compliance documentation, warehouse shift, remote work, shared workflow tools, distributed team, online documentation, training support, flexible location. Candidates document workflows and coordinate with managers.",1,2.4933,1
32,2024,education,West,administration,180,senior records manager,"senior records manager. The role supports education teams through case management software, warehouse shift, on site presence, training support, shared workflow tools, team coordination, asynchronous communication. Candidates document workflows and coordinate with managers.",1,3.6182,1
33,2023,education,West,production,180,associate production technician,"associate production technician. The role supports education teams through quality checks, online documentation, manager updates, secure video calls. Candidates document workflows and coordinate with managers.",0,2.8319,0
