design_id,anchor,identifying_variation,unit,observed_margin,identifies,diagnostic_caution
second_generation_inherited_culture,Fernandez-Fogli 2009,origin-country work and fertility proxies among descendants in a common host setting,worker or household,"labor-force participation, fertility, hours",inherited culture and transmitted role norms,"Identifies transmission proxies, not current sanctions by peers or family."
historical_plough_persistence,Alesina-Giuliano-Nunn 2013,historical agricultural technology predicts modern role norms,"ethnic group, country, or region","gender-role beliefs, female labor supply",historical persistence of work-role norms,"Historical proxies can bundle technology, institutions, ecology, and selection."
competitive_job_entry_field_experiment,Flory-Leibbrandt-List 2015,job advertisement randomly varies competitive compensation or framing,potential applicant,application and job-entry decisions,job-entry response to acceptable-workplace framing,"Identifies response to the randomized entry environment, not the full norm system."
gender_coded_occupation_entry,Delfino 2024,information or recruitment changes entry into gender-coded occupations,potential applicant,occupational entry,job-entry response to acceptable-workplace framing,"Identifies response to the randomized entry environment, not the full norm system."
religion_reputation_acceptable_work,Carvalho 2013,reputation-preserving conduct changes public work or mobility choices,"worker, household, or community","public work, mobility, sector choice","religion, reputation, and acceptable work","Separate religious conduct and reputation from legal exclusion, safety, and household constraints."
workplace_networking_promotion,Cullen-Perez-Truglia 2023,informal interaction with managers affects promotion opportunities,worker-manager pair or worker-year,"networking, visibility, promotion",networking and leadership-entry conduct norms,Separate chosen networking conduct from structural access to networks and managers.
local_unemployment_social_norm,Clark 2003,local unemployment changes the social cost of nonemployment,worker-year or local labor market,"well-being, unemployment stigma, search",current local work or unemployment norms,"Local social pressure can be correlated with labor demand, policy administration, and composition."
swiss_language_border_work_attitudes,Eugster-Lalive-Steinhauer-Zweimuller 2017,language-region border shifts work attitudes under shared national policy,worker or region,"job search, benefit use, work attitudes",current local work or unemployment norms,"Local social pressure can be correlated with labor demand, policy administration, and composition."
market_level_labor_supply_suppression,Breza-Kaur-Krishnaswamy 2019,wage offers and social visibility change labor-supply acceptance,worker or local labor market,"wage acceptance, labor supply, undercutting",market-level labor-supply and wage-acceptance discipline,"External validity depends on repeated interaction, observability, and community enforcement."
category_hierarchy_audit,Week 6 boundary case,group names or category signals change employer callbacks,application or employer,hiring access and employer beliefs,structural hierarchy boundary reserved for Week 6,"Use Week 6 tools when category membership itself changes access, authority, or protection."
